rastrigin,30,36.3332
rastrigin,30,69.6123
rastrigin,30,37.2743
rastrigin,30,37.0839
rastrigin,30,67.8891
rastrigin,30,57.0747
rastrigin,30,47.6299
rastrigin,30,46.3159
rastrigin,30,43.7878
rastrigin,30,64.1658

rastrigin,30,193.161
rastrigin,30,368.904
rastrigin,30,536.305
rastrigin,30,171.212
rastrigin,30,176.832
rastrigin,30,201.362
rastrigin,30,201.054
rastrigin,30,205.818
rastrigin,30,163.91
rastrigin,30,296.701
rastrigin,30,84.2646
rastrigin,30,28.8099
rastrigin,30,28.7891
rastrigin,30,29.2897
rastrigin,30,23.2202
rastrigin,30,28.8297
rastrigin,30,26.1008
rastrigin,30,27.9308
rastrigin,30,86.4044
rastrigin,30,25.1332
rastrigin,30,21.9534
rastrigin,30,82.8083
rastrigin,30,28.7992
rastrigin,30,20.7556
rastrigin,30,27.0085
rastrigin,30,80.157
rastrigin,30,27.903
rastrigin,30,25.7121
rastrigin,30,25.6004
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
rastrigin,30,3.9968e-15
